,complexity,token_count,loc,lloc,sloc,comments,multi,blank,code_comment,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,change_type,added,removed,defect
219,78,1680,127,75,83,2,11,30,129,4,14,7,14,18,21,61,87,2,175,9,0,2,13,10,0
220,78,1680,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,2,13,10,0
221,78,1680,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,13,10,0
222,78,1680,8,5,5,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,2,13,10,0
223,78,1680,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,13,10,0
224,78,1680,14,8,8,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,2,13,10,0
225,78,1680,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,13,10,0
226,78,1680,6,4,4,0,0,2,6,1,2,1,2,3,3,2,4,0,2,0,0,2,13,10,0
227,78,1680,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,13,10,0
228,78,1680,7,5,5,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,2,13,10,0
229,78,1680,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,13,10,0
230,78,1680,10,6,6,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,2,13,10,0
231,78,1680,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,13,10,0
232,78,1680,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,13,10,0
233,78,1680,14,10,10,0,0,4,14,1,1,1,1,2,2,0,2,0,1,0,0,2,13,10,0
234,78,1680,46,26,30,3,0,12,49,3,6,3,6,9,9,20,28,1,42,2,0,2,13,10,0
235,79,1683,127,75,83,2,11,30,129,4,14,7,14,18,21,61,87,2,175,9,0,2,45,40,0
236,79,1683,652,304,544,16,6,88,668,6,89,51,101,95,152,591,998,3,3399,188,0,2,45,40,0
237,79,1683,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,45,40,0
238,79,1683,8,5,5,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,2,45,40,0
239,79,1683,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,45,40,0
240,79,1683,14,8,8,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,2,45,40,0
241,79,1683,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,45,40,0
242,79,1683,6,4,4,0,0,2,6,1,2,1,2,3,3,2,4,0,2,0,0,2,45,40,0
243,79,1683,6,4,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,45,40,0
244,79,1683,7,5,5,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,2,45,40,0
